chrom	length	bases	mean	min	max
chr1	248956422	11257686147	45.22	0	20132
chr2	242193529	11036235445	45.57	0	1199
chr3	198295559	9123096578	46.01	0	1108
chr4	190214555	8930468818	46.95	0	4719
chr5	181538259	8284903027	45.64	0	5286
chr6	170805979	7961980068	46.61	0	1557
chr7	159345973	7256196426	45.54	0	378
chr8	145138636	6663307307	45.91	0	1093
chr9	138394717	5472969572	39.55	0	492
chr10	133797422	6178314644	46.18	0	1711
chr11	135086622	6062900139	44.88	0	176
chr12	133275309	6061312296	45.48	0	717
chr13	114364328	4678783747	40.91	0	1153
chr14	107043718	4094227989	38.25	0	221
chr15	101991189	3793389333	37.19	0	292
chr16	90338345	3917041292	43.36	0	16900
chr17	83257441	3665813805	44.03	0	790
chr18	80373285	3544076685	44.10	0	579
chr19	58617616	2449352821	41.79	0	365
chr20	64444167	3022827403	46.91	0	2563
chr21	46709983	2079571856	44.52	0	4193
chr22	50818468	1710048729	33.65	0	3890
chrX	156040895	3577632057	22.93	0	317
chrY	57227415	1096616684	19.16	0	10981
chrM	16569	12918009	779.65	381	917
chr1_KI270706v1_random	175055	9099033	51.98	9	116
chr1_KI270707v1_random	32032	1076815	33.62	12	41
chr1_KI270708v1_random	127682	3037747	23.79	4	38
chr1_KI270709v1_random	66860	55263329	826.55	35	3417
chr1_KI270710v1_random	40176	1278659	31.83	6	41
chr1_KI270711v1_random	42210	1293495	30.64	3	52
chr1_KI270712v1_random	176043	3225006	18.32	0	57
chr1_KI270713v1_random	40745	2750817	67.51	4	110
chr1_KI270714v1_random	41717	1681009	40.30	5	57
chr2_KI270715v1_random	161471	5996545	37.14	8	70
chr2_KI270716v1_random	153799	4755777	30.92	0	155
chr3_GL000221v1_random	155397	14538090	93.55	3	199
chr4_GL000008v2_random	209709	26449588	126.13	10	1055
chr5_GL000208v1_random	92689	7120216	76.82	42	94
chr9_KI270717v1_random	40062	638348	15.93	1	26
chr9_KI270718v1_random	38054	1393519	36.62	6	66
chr9_KI270719v1_random	176845	13387848	75.70	3	142
chr9_KI270720v1_random	39050	1930982	49.45	11	72
chr11_KI270721v1_random	100316	1930752	19.25	0	39
chr14_GL000009v2_random	201709	28396441	140.78	8	219
chr14_GL000225v1_random	211173	89820887	425.34	0	1602
chr14_KI270722v1_random	194050	9123493	47.02	8	105
chr14_GL000194v1_random	191469	23198190	121.16	13	174
chr14_KI270723v1_random	38115	3781936	99.22	17	143
chr14_KI270724v1_random	39555	1863012	47.10	12	87
chr14_KI270725v1_random	172810	10640209	61.57	7	96
chr15_KI270727v1_random	448248	4638967	10.35	0	55
chr16_KI270728v1_random	1872759	32303227	17.25	0	85
