chrom	length	bases	mean	min	max
chr1	248956422	7955795576	31.96	0	15540
chr2	242193529	7791006778	32.17	0	800
chr3	198295559	6440108397	32.48	0	809
chr4	190214555	6205710763	32.62	0	3474
chr5	181538259	5840904853	32.17	0	3082
chr6	170805979	5515899705	32.29	0	400
chr7	159345973	5140542733	32.26	0	393
chr8	145138636	4676575860	32.22	0	916
chr9	138394717	3998305593	28.89	0	305
chr10	133797422	4338396656	32.43	0	925
chr11	135086622	4308967544	31.90	0	125
chr12	133275309	4256725187	31.94	0	195
chr13	114364328	3260101118	28.51	0	568
chr14	107043718	2883041486	26.93	0	148
chr15	101991189	2705715277	26.53	0	271
chr16	90338345	2825005474	31.27	0	13338
chr17	83257441	2639890188	31.71	0	479
chr18	80373285	2489375948	30.97	0	492
chr19	58617616	1778210024	30.34	0	309
chr20	64444167	2169063095	33.66	0	1155
chr21	46709983	1401268025	30.00	0	2443
chr22	50818468	1207255505	23.76	0	415
chrX	156040895	4875527607	31.25	0	249
chrY	57227415	55078394	0.96	0	1286
chrM	16569	17203418	1038.29	523	1293
chr1_KI270706v1_random	175055	6381245	36.45	8	87
chr1_KI270707v1_random	32032	401990	12.55	5	23
chr1_KI270708v1_random	127682	3574663	28.00	0	48
chr1_KI270709v1_random	66860	28499061	426.25	31	1630
chr1_KI270710v1_random	40176	1061597	26.42	11	36
chr1_KI270711v1_random	42210	1255929	29.75	2	66
chr1_KI270712v1_random	176043	4493723	25.53	3	52
chr1_KI270713v1_random	40745	2589571	63.56	0	114
chr1_KI270714v1_random	41717	1040417	24.94	6	37
chr2_KI270715v1_random	161471	5123192	31.73	3	64
chr2_KI270716v1_random	153799	3739059	24.31	0	113
chr3_GL000221v1_random	155397	12434350	80.02	0	185
chr4_GL000008v2_random	209709	18539967	88.41	12	714
chr5_GL000208v1_random	92689	4898219	52.85	26	73
chr9_KI270717v1_random	40062	568119	14.18	1	20
chr9_KI270718v1_random	38054	1825016	47.96	6	78
chr9_KI270719v1_random	176845	5752342	32.53	0	77
chr9_KI270720v1_random	39050	1265812	32.42	12	44
chr11_KI270721v1_random	100316	341246	3.40	0	11
chr14_GL000009v2_random	201709	15917916	78.92	2	155
chr14_GL000225v1_random	211173	77015261	364.70	1	1278
chr14_KI270722v1_random	194050	7596157	39.15	2	95
chr14_GL000194v1_random	191469	7049389	36.82	3	85
chr14_KI270723v1_random	38115	1549244	40.65	11	61
chr14_KI270724v1_random	39555	1530633	38.70	14	47
chr14_KI270725v1_random	172810	6421547	37.16	3	62
chr14_KI270726v1_random	43739	3699	0.08	0	1
chr15_KI270727v1_random	448248	5178888	11.55	0	45
chr16_KI270728v1_random	1872759	39637464	21.17	0	81
chr17_GL000205v2_random	185591	15656920	84.36	0	176
chr17_KI270729v1_random	280839	17384757	61.90	0	1025
chr17_KI270730v1_random	112551	6139935	54.55	0	138
chr22_KI270731v1_random	150754	3031972	20.11	0	38
chr22_KI270732v1_random	41543	4538461	109.25	33	148
chr22_KI270733v1_random	179772	54883652	305.30	4	1171
chr22_KI270734v1_random	165050	7033757	42.62	1	243
chr22_KI270735v1_random	42811	5494523	128.34	41	168
chr22_KI270736v1_random	181920	12962933	71.26	0	170
chr22_KI270737v1_random	103838	2748130	26.47	1	108
chr22_KI270738v1_random	99375	2230096	22.44	0	63
chr22_KI270739v1_random	73985	308203	4.17	0	15
chrUn_KI270322v1	21476	2822	0.13	0	2
chrUn_KI270320v1	4416	36018	8.16	3	11
chrUn_KI270311v1	12399	652	0.05	0	1
chrUn_KI270411v1	2646	14022	5.30	0	8
chrUn_KI270418v1	2145	3161	1.47	0	2
chrUn_KI270420v1	2321	3833	1.65	0	3
chrUn_KI270424v1	2140	1291	0.60	0	1
chrUn_KI270422v1	1445	1312	0.91	0	1
chrUn_KI270442v1	392061	30160449	76.93	0	223
chrUn_KI270466v1	1233	31578	25.61	4	34
chrUn_KI270465v1	1774	16047	9.05	4	11
chrUn_KI270467v1	3920	35718160	9111.78	7	11269
chrUn_KI270435v1	92983	5249937	56.46	27	123
chrUn_KI270438v1	112505	95362598	847.63	0	8712
chrUn_KI270468v1	4055	20198	4.98	3	6
chrUn_KI270510v1	2415	11884	4.92	2	6
chrUn_KI270509v1	2318	4104	1.77	0	4
chrUn_KI270518v1	2186	2956	1.35	1	3
chrUn_KI270508v1	1951	4839	2.48	1	4
chrUn_KI270516v1	1300	5162	3.97	3	4
chrUn_KI270512v1	22689	778610	34.32	0	54
chrUn_KI270519v1	138126	9000614	65.16	0	234
chrUn_KI270522v1	5674	40347	7.11	6	8
chrUn_KI270511v1	8127	280686	34.54	0	37
chrUn_KI270515v1	6361	153670	24.16	12	29
chrUn_KI270507v1	5353	23586	4.41	3	6
chrUn_KI270517v1	3253	26986	8.30	5	12
chrUn_KI270539v1	993	495	0.50	0	1
chrUn_KI270538v1	91309	4803200	52.60	0	214
chrUn_KI270544v1	1202	1735	1.44	0	2
chrUn_KI270583v1	1400	880	0.63	0	1
chrUn_KI270587v1	2969	312	0.11	0	1
chrUn_KI270580v1	1553	1553	1.00	1	1
chrUn_KI270581v1	7046	2815	0.40	0	1
chrUn_KI270579v1	31033	213108	6.87	1	16
chrUn_KI270589v1	44474	574573	12.92	0	37
chrUn_KI270590v1	4685	301572	64.37	0	72
chrUn_KI270584v1	4513	37767	8.37	4	10
chrUn_KI270582v1	6504	1566	0.24	0	2
chrUn_KI270588v1	6158	58602	9.52	0	13
chrUn_KI270593v1	3041	750	0.25	0	1
chrUn_KI270591v1	5796	367787	63.46	6	79
chrUn_KI270330v1	1652	4076	2.47	0	8
chrUn_KI270329v1	1040	603	0.58	0	1
chrUn_KI270333v1	2699	1170416	433.65	19	533
chrUn_KI270336v1	1026	5405	5.27	0	8
chrUn_KI270337v1	1121	17220	15.36	0	22
chrUn_KI270363v1	1803	983	0.55	0	1
chrUn_KI270366v1	8320	6046	0.73	0	4
chrUn_KI270386v1	1788	513	0.29	0	1
chrUn_KI270382v1	4215	2119	0.50	0	2
chrUn_KI270448v1	7992	148086	18.53	9	27
chrUn_KI270521v1	7642	86578	11.33	7	16
chrUn_GL000195v1	182896	16879658	92.29	5	175
chrUn_GL000219v1	179198	7553725	42.15	13	120
chrUn_GL000220v1	161802	86655416	535.56	0	2238
chrUn_GL000224v1	179693	17746748	98.76	8	679
chrUn_KI270741v1	157432	682707	4.34	0	17
chrUn_GL000226v1	15008	16907896	1126.59	611	1413
chrUn_GL000213v1	164239	1079525	6.57	0	20
chrUn_KI270743v1	210658	10033698	47.63	9	74
chrUn_KI270744v1	168472	18383746	109.12	7	614
chrUn_KI270745v1	41891	344961	8.23	0	17
chrUn_KI270746v1	66486	4699583	70.69	4	138
chrUn_KI270747v1	198735	4789400	24.10	0	48
chrUn_KI270748v1	93321	2948338	31.59	1	53
chrUn_KI270749v1	158759	8045983	50.68	2	83
chrUn_KI270750v1	148850	5781205	38.84	0	79
chrUn_KI270751v1	150742	13612453	90.30	0	223
chrUn_KI270753v1	62944	1811323	28.78	1	56
chrUn_KI270754v1	40191	3769673	93.79	5	167
chrUn_KI270755v1	36723	166501	4.53	0	11
chrUn_KI270756v1	79590	4869915	61.19	1	164
chrUn_KI270757v1	71251	7161470	100.51	0	294
chrUn_GL000214v1	137718	8529342	61.93	0	167
chrUn_KI270742v1	186739	17208588	92.15	20	178
chrUn_GL000216v2	176608	35657523	201.90	8	810
chrUn_GL000218v1	161147	14697358	91.20	27	126
chrEBV	171823	219108553	1275.20	78	1534
total	3099740131	95887663829	30.93	0	15540
