chrom	length	bases	mean	min	max
chr1	248956422	9825492623	39.47	0	19152
chr2	242193529	9623780705	39.74	0	960
chr3	198295559	7964866402	40.17	0	3515
chr4	190214555	7747667423	40.73	0	4227
chr5	181538259	7208323840	39.71	0	5536
chr6	170805979	6921158913	40.52	0	1038
chr7	159345973	6307550274	39.58	0	382
chr8	145138636	5799857768	39.96	0	842
chr9	138394717	4807374645	34.74	0	400
chr10	133797422	5422131239	40.52	0	2064
chr11	135086622	5305957194	39.28	0	115
chr12	133275309	5273410144	39.57	0	804
chr13	114364328	4084377463	35.71	0	2295
chr14	107043718	3579815631	33.44	0	189
chr15	101991189	3377153530	33.11	0	277
chr16	90338345	3574854342	39.57	0	22753
chr17	83257441	3247280886	39.00	0	689
chr18	80373285	3115157506	38.76	0	823
chr19	58617616	2180205586	37.19	0	375
chr20	64444167	2644166363	41.03	0	2163
chr21	46709983	1779894976	38.11	0	3505
chr22	50818468	1500991323	29.54	0	3130
chrX	156040895	3095156367	19.84	0	143
chrY	57227415	988957310	17.28	0	10150
chrM	16569	46915398	2831.52	1327	3282
chr1_KI270706v1_random	175055	7772322	44.40	7	94
chr1_KI270707v1_random	32032	394718	12.32	2	17
chr1_KI270708v1_random	127682	4290116	33.60	13	45
chr1_KI270709v1_random	66860	61073879	913.46	44	4193
chr1_KI270710v1_random	40176	2255853	56.15	27	71
chr1_KI270711v1_random	42210	1557206	36.89	2	68
chr1_KI270712v1_random	176043	3407925	19.36	0	38
chr1_KI270713v1_random	40745	2008855	49.30	0	87
chr1_KI270714v1_random	41717	750103	17.98	1	30
chr2_KI270715v1_random	161471	7134711	44.19	16	92
chr2_KI270716v1_random	153799	4468646	29.06	3	107
chr3_GL000221v1_random	155397	13922902	89.60	0	216
chr4_GL000008v2_random	209709	21652299	103.25	10	977
chr5_GL000208v1_random	92689	5904278	63.70	33	104
chr9_KI270717v1_random	40062	412648	10.30	0	18
chr9_KI270718v1_random	38054	1311544	34.47	2	70
chr9_KI270719v1_random	176845	10917134	61.73	0	138
chr9_KI270720v1_random	39050	1779965	45.58	10	65
chr11_KI270721v1_random	100316	1060802	10.57	0	27
chr14_GL000009v2_random	201709	28019861	138.91	7	234
chr14_GL000225v1_random	211173	91931967	435.34	8	1322
chr14_KI270722v1_random	194050	12100603	62.36	16	135
chr14_GL000194v1_random	191469	15142397	79.09	2	128
chr14_KI270723v1_random	38115	3104042	81.44	18	109
chr14_KI270724v1_random	39555	1757694	44.44	21	62
chr14_KI270725v1_random	172810	9817242	56.81	5	88
chr14_KI270726v1_random	43739	274679	6.28	0	13
chr15_KI270727v1_random	448248	8287206	18.49	0	110
chr16_KI270728v1_random	1872759	5122688	2.74	0	72
chr17_GL000205v2_random	185591	18955114	102.13	0	236
chr17_KI270729v1_random	280839	23863613	84.97	0	1266
chr17_KI270730v1_random	112551	7812500	69.41	4	164
chr22_KI270731v1_random	150754	5124844	33.99	0	55
chr22_KI270732v1_random	41543	4114898	99.05	30	132
chr22_KI270733v1_random	179772	55354579	307.92	4	1013
chr22_KI270734v1_random	165050	11506098	69.71	0	2687
chr22_KI270735v1_random	42811	5047377	117.90	38	168
chr22_KI270736v1_random	181920	20839125	114.55	0	280
chr22_KI270737v1_random	103838	3870219	37.27	2	154
chr22_KI270738v1_random	99375	2745577	27.63	0	55
chr22_KI270739v1_random	73985	418661	5.66	0	17
chrY_KI270740v1_random	37240	466699	12.53	1	23
chrUn_KI270302v1	2274	3268	1.44	0	4
chrUn_KI270304v1	2165	278	0.13	0	1
chrUn_KI270305v1	1472	548	0.37	0	1
chrUn_KI270322v1	21476	14359	0.67	0	10
chrUn_KI270320v1	4416	110456	25.01	7	33
chrUn_KI270310v1	1201	6214	5.17	0	8
chrUn_KI270316v1	1444	1481	1.03	0	2
chrUn_KI270311v1	12399	7810	0.63	0	5
chrUn_KI270317v1	37690	2423	0.06	0	2
chrUn_KI270412v1	1179	477	0.40	0	1
chrUn_KI270411v1	2646	29868	11.29	1	17
chrUn_KI270414v1	2489	3161	1.27	0	4
chrUn_KI270418v1	2145	553	0.26	0	1
chrUn_KI270420v1	2321	6033	2.60	1	5
chrUn_KI270417v1	2043	1570	0.77	0	3
chrUn_KI270422v1	1445	6689	4.63	4	6
chrUn_KI270423v1	981	1025	1.04	0	2
chrUn_KI270429v1	1361	360	0.26	0	1
chrUn_KI270442v1	392061	37889928	96.64	0	345
chrUn_KI270466v1	1233	176982	143.54	46	199
chrUn_KI270465v1	1774	27550	15.53	5	23
chrUn_KI270467v1	3920	33255040	8483.43	12	10835
chrUn_KI270435v1	92983	6142602	66.06	37	135
chrUn_KI270438v1	112505	80224383	713.07	0	7599
chrUn_KI270468v1	4055	26299	6.49	4	9
chrUn_KI270510v1	2415	22223	9.20	5	11
chrUn_KI270509v1	2318	15541	6.70	1	11
chrUn_KI270518v1	2186	13773	6.30	1	10
chrUn_KI270508v1	1951	9069	4.65	2	7
chrUn_KI270516v1	1300	2281	1.75	0	3
chrUn_KI270512v1	22689	836377	36.86	0	72
chrUn_KI270519v1	138126	9602415	69.52	0	321
chrUn_KI270522v1	5674	60101	10.59	7	13
chrUn_KI270511v1	8127	328651	40.44	0	48
chrUn_KI270515v1	6361	196510	30.89	18	38
chrUn_KI270507v1	5353	72505	13.54	8	17
chrUn_KI270517v1	3253	57375	17.64	8	22
chrUn_KI270529v1	1899	960	0.51	0	1
chrUn_KI270528v1	2983	373	0.13	0	1
chrUn_KI270530v1	2168	3561	1.64	0	3
chrUn_KI270538v1	91309	4958864	54.31	0	188
chrUn_KI270544v1	1202	8972	7.46	0	13
chrUn_KI270548v1	1599	303	0.19	0	1
chrUn_KI270583v1	1400	2450	1.75	0	4
chrUn_KI270587v1	2969	20873	7.03	1	9
chrUn_KI270580v1	1553	8456	5.44	2	8
chrUn_KI270581v1	7046	10894	1.55	0	7
chrUn_KI270579v1	31033	475670	15.33	5	27
chrUn_KI270589v1	44474	649253	14.60	0	51
chrUn_KI270590v1	4685	367426	78.43	0	90
chrUn_KI270584v1	4513	58798	13.03	4	19
chrUn_KI270582v1	6504	14154	2.18	0	4
chrUn_KI270588v1	6158	103277	16.77	0	24
chrUn_KI270593v1	3041	5106	1.68	0	4
chrUn_KI270591v1	5796	564380	97.37	10	124
chrUn_KI270330v1	1652	8281	5.01	0	17
chrUn_KI270333v1	2699	2499708	926.16	26	1213
chrUn_KI270335v1	1048	680	0.65	0	1
chrUn_KI270336v1	1026	29120	28.38	2	39
chrUn_KI270337v1	1121	149556	133.41	1	181
chrUn_KI270362v1	3530	7680	2.18	0	5
chrUn_KI270366v1	8320	17063	2.05	0	5
chrUn_KI270390v1	2387	953	0.40	0	1
chrUn_KI270387v1	1537	2585	1.68	1	2
chrUn_KI270395v1	1143	1040	0.91	0	1
chrUn_KI270388v1	1216	172	0.14	0	1
chrUn_KI270381v1	1930	720	0.37	0	1
chrUn_KI270382v1	4215	7282	1.73	0	4
