chrom	length	bases	mean	min	max
chr1	248956422	6621231522	26.60	0	14214
chr2	242193529	6533530949	26.98	0	678
chr3	198295559	5382401106	27.14	0	1918
chr4	190214555	5254523157	27.62	0	5326
chr5	181538259	4864134041	26.79	0	4417
chr6	170805979	4671552209	27.35	0	738
chr7	159345973	4280392341	26.86	0	645
chr8	145138636	3922152196	27.02	0	637
chr9	138394717	3274717212	23.66	0	331
chr10	133797422	3679434759	27.50	0	1200
chr11	135086622	3580479483	26.51	0	143
chr12	133275309	3587077680	26.91	0	171
chr13	114364328	2766895944	24.19	0	1063
chr14	107043718	2425003819	22.65	0	163
chr15	101991189	2295552788	22.51	0	245
chr16	90338345	2298249496	25.44	0	7257
chr17	83257441	2227930864	26.76	0	673
chr18	80373285	2085776166	25.95	0	342
chr19	58617616	1524913985	26.01	0	253
chr20	64444167	1782879539	27.67	0	1857
chr21	46709983	1301199708	27.86	0	3562
chr22	50818468	1023313824	20.14	0	2215
chrX	156040895	2143363000	13.74	0	173
chrY	57227415	655614186	11.46	0	7781
chrM	16569	65404186	3947.38	2290	4844
chr1_KI270706v1_random	175055	5409554	30.90	6	70
chr1_KI270707v1_random	32032	704262	21.99	6	34
chr1_KI270708v1_random	127682	1801372	14.11	0	24
chr1_KI270709v1_random	66860	17614000	263.45	29	1020
chr1_KI270710v1_random	40176	832350	20.72	2	34
chr1_KI270711v1_random	42210	1086873	25.75	1	57
chr1_KI270712v1_random	176043	3086850	17.53	2	34
chr1_KI270713v1_random	40745	1366014	33.53	0	60
chr1_KI270714v1_random	41717	1080925	25.91	3	41
chr2_KI270715v1_random	161471	3456110	21.40	3	52
chr2_KI270716v1_random	153799	3788426	24.63	0	152
chr3_GL000221v1_random	155397	10683611	68.75	1	147
chr4_GL000008v2_random	209709	13794838	65.78	6	584
chr5_GL000208v1_random	92689	4466978	48.19	21	104
chr9_KI270717v1_random	40062	120525	3.01	0	6
chr9_KI270718v1_random	38054	1238775	32.55	5	58
chr9_KI270719v1_random	176845	6420789	36.31	2	85
chr9_KI270720v1_random	39050	1119757	28.67	9	45
chr11_KI270721v1_random	100316	653414	6.51	0	22
chr14_GL000009v2_random	201709	12001344	59.50	1	137
chr14_GL000225v1_random	211173	51238432	242.64	5	731
chr14_KI270722v1_random	194050	5340973	27.52	5	52
chr14_GL000194v1_random	191469	9082576	47.44	2	93
